2, yellow, entry, quadrant 4
3, white, entry, quadrant 2
3, peach, entry, quadrant 2
4, peach, exit, quadrant 2
4, peach, entry, quadrant None
5, yellow, exit, quadrant 4
5, white, exit, quadrant 2
5, white, entry, quadrant 4
8, peach, exit, quadrant None
20, white, exit, quadrant 4
30, peach, entry, quadrant 4
30, yellow, entry, quadrant 2
32, yellow, exit, quadrant 2
33, green, entry, quadrant 4
44, peach, exit, quadrant 4
44, peach, entry, quadrant None
46, peach, exit, quadrant None
49, yellow, entry, quadrant 4
49, green, exit, quadrant 4
49, peach, entry, quadrant 2
52, peach, exit, quadrant 2
52, peach, entry, quadrant None
66, peach, exit, quadrant None
69, yellow, exit, quadrant 4
72, peach, entry, quadrant 4
74, white, entry, quadrant 2
76, peach, exit, quadrant 4
88, peach, entry, quadrant 4
90, peach, exit, quadrant 4
90, white, exit, quadrant 2
94, white, entry, quadrant 4
100, yellow, entry, quadrant 4
100, peach, entry, quadrant 4
102, yellow, exit, quadrant 4
